הירק,מחיר,"ק""ג",יחידות,"סה""כ",אריזה
אבוקדו פוארטה,7.7,,,,קג
אשכולית אדומה,3.5,,,,קג
בצל יבש,4.5,,,,קג
בצל ירוק,4,,,,צרור
חסה אבירם,3,,,,
חסה מסולסלת אדומה או ירוקה,3,,,,
חסה ערבית,2.5,,,,
כוסברה,2.7,,,,צרור
כרוב אדום,2.5,,,,קג
כרוב לבן,2,,,,קג
ליים,6.5,,,,קג
לימון,5,,,,קג
מיקס ביבי,6,,,,נספק
מיקס חסה,7.2,,,,נספק
מלפפון,4.5,,,,קג
מלפפון ביבי,6.3,,,,נספק 330 גר
נענע,3.3,,,,צרור
סלרי עלים,3.5,,,,יח
סלרי שורש,7,,,,יח
עגבנית אשכול,6.5,,,,קג
עלי מנגולד,3.5,,,,צרור
פומלה לבנה,7,,,,קג
פומלית,3,,,,קג
פטרוזיליה,2.7,,,,צרור
קלמנטינה,6.5,,,,קג
שמיר,2.7,,,,צרור
תות שדה,6.5,,,,נספק 250 גר'